sector,country,gamma_VA
7,26,0.171610159
8,26,0.31830346
9,26,0.332190187
10,26,0.410421321
11,26,0.357403361
12,26,0.357403361
13,26,0.372510409
14,26,0.325889568
15,26,0.325889568
16,26,0.325889568
17,26,0.325889568
18,26,0.24486086
19,26,0.24486086
20,26,0.314734826
21,26,0.476354954
22,26,0.348968829
23,26,0.59319603
24,26,0.546768037
25,26,0.508825534
26,26,0.386644924
27,26,0.341454912
28,26,0.398084282
29,26,0.733302666
30,26,0.636366189
31,26,0.737816904
32,26,0.552409952
33,26,0.552409952
34,26,0.552409952
35,26,0.552409952
36,26,0.720751558
37,26,0.859763071
38,26,0.662821015
39,26,0.579591621
40,26,1
1,27,0.635786774
2,27,0.445991399
3,27,0.252044624
4,27,0.342143611
5,27,0.244175473
6,27,0.388338728
7,27,0.087232946
8,27,0.460503151
9,27,0.377488365
10,27,0.376911146
11,27,0.367118282
12,27,0.367118282
13,27,0.364119582
14,27,0.31575468
15,27,0.31575468
16,27,0.31575468
17,27,0.31575468
18,27,0.282008619
19,27,0.282008619
20,27,0.319311369
21,27,0.670609159
22,27,0.426664024
23,27,0.621345636
24,27,0.37987396
25,27,0.504317044
26,27,0.255719397
27,27,0.484334987
28,27,0.273679878
29,27,0.49572886
30,27,0.643651972
31,27,0.591857393
32,27,0.508725487
33,27,0.508725487
34,27,0.508725487
35,27,0.508725487
36,27,0.500749077
37,27,0.660852295
38,27,0.708187948
39,27,0.488483372
40,27,1
1,28,0.631466024
2,28,0.788790066
3,28,0.344018763
4,28,0.345500243
5,28,0.34343842
6,28,0.43024651
7,28,0.565660499
8,28,0.419742494
9,28,0.356076629
10,28,0.518948238
11,28,0.349415555
12,28,0.349415555
13,28,0.461931024
14,28,0.460013493
15,28,0.460013493
16,28,0.460013493
17,28,0.460013493
18,28,0.417119233
19,28,0.417119233
20,28,0.420717787
21,28,0.698021317
22,28,0.442114879
23,28,0.74114263
24,28,0.508225956
25,28,0.659460541
26,28,0.541046929
27,28,0.415211469
28,28,0.319268191
29,28,0.76768566
30,28,0.708818007
31,28,0.835239843
32,28,0.622364879
33,28,0.622364879
34,28,0.622364879
35,28,0.622364879
36,28,1
37,28,0.57646517
38,28,0.640964377
39,28,0.712266844
40,28,1
1,29,0.471361106
2,29,0.622932187
3,29,0.298817711
4,29,0.409194136
5,29,0.356367033
6,29,0.442672736
7,29,0.234743423
8,29,0.37663102
9,29,0.397578105
10,29,0.461590849
11,29,0.381293754
12,29,0.381293754
13,29,0.409080618
14,29,0.375857744
15,29,0.375857744
16,29,0.375857744
17,29,0.375857744
18,29,0.315529498
19,29,0.315529498
20,29,0.382583579
21,29,0.372315637
22,29,0.360536345
23,29,0.561406295
24,29,0.426219181
25,29,0.518531428
26,29,0.518037783
27,29,0.518153234
28,29,0.517559071
29,29,0.519440556
30,29,0.503044836
31,29,0.71171082
32,29,0.712005281
33,29,0.712005281
34,29,0.712005281
35,29,0.712005281
36,29,0.556282646
37,29,0.757587129
38,29,0.590571303
39,29,0.489593981
40,29,1
1,30,0.387866995
2,30,0.577261501
3,30,0.259394833
4,30,0.313429864
5,30,0.306126997
6,30,0.37434327
7,30,0.239724894
8,30,0.351781245
9,30,0.341551874
10,30,0.445007408
11,30,0.379164228
12,30,0.379164228
13,30,0.371322583
14,30,0.338532426
15,30,0.338532426
16,30,0.338532426
17,30,0.338532426
18,30,0.278504606
19,30,0.278504606
20,30,0.408635448
21,30,0.696897632
22,30,0.451417173
23,30,0.693826807
24,30,0.520137189
25,30,0.491245065
26,30,0.261064566
27,30,0.425247155
28,30,0.716733365
29,30,0.676430144
30,30,0.581655066
31,30,0.753930233
32,30,0.667814888
33,30,0.667814888
34,30,0.667814888
35,30,0.667814888
36,30,0.652527412
37,30,0.609946434
38,30,0.629890019
39,30,0.588743135
40,30,1
1,31,0.557655967
2,31,0.583925485
3,31,0.260839801
4,31,0.340726535
5,31,0.336600839
6,31,0.372195033
7,31,0.205628339
8,31,0.348279282
9,31,0.342698112
10,31,0.416121439
11,31,0.328681997
12,31,0.33772163
13,31,0.35155912
14,31,0.337172117
15,31,0.3322693
16,31,0.329746211
17,31,0.33759943
18,31,0.289238559
19,31,0.310244185
20,31,0.380611815
21,31,0.530066789
22,31,0.396877318
23,31,0.603712385
24,31,0.469749132
25,31,0.527227304
26,31,0.396144192
27,31,0.408654555
28,31,0.489535895
29,31,0.635386724
30,31,0.633106333
31,31,0.770790532
32,31,0.574675408
33,31,0.57269743
34,31,0.584856093
35,31,0.576120998
36,31,0.641133967
37,31,0.78494027
38,31,0.644127846
39,31,0.568057173
40,31,1
